,date,gold,silver,week,month,mean_per_week_gold,mean_per_week_silver,mean_per_month_gold,mean_per_month_silver
21,2020-09-18,4680.61,64.66,38,9,4708.312,65.414,4533.7861111111115,56.52833333333334
22,2020-09-17,4733.17,65.96,38,9,4708.312,65.414,4533.7861111111115,56.52833333333334
23,2020-09-16,4746.61,66.59,38,9,4708.312,65.414,4533.7861111111115,56.52833333333334
24,2020-09-15,4665.67,64.58,38,9,4708.312,65.414,4533.7861111111115,56.52833333333334
25,2020-12-09,4681.88,64.71,50,12,4688.84,65.61,4053.986,49.346
26,2020-11-09,4722.48,65.82,46,11,4722.48,65.82,3945.444999999999,45.215
27,2020-10-09,4716.38,64.9,41,10,4338.2025,51.74250000000001,4377.283636363637,53.15909090909091
28,2020-09-09,4690.71,65.15,37,9,4516.59,55.83666666666667,4533.7861111111115,56.52833333333334
29,2020-08-09,4686.6,65.21,32,8,4343.814,49.27199999999999,4492.892000000001,58.665
30,2020-05-09,4683.5,64.82,19,5,4374.31,53.870000000000005,3994.99894736842,41.0221052631579
31,2020-04-09,4692.8,65.27,15,4,4298.305,50.78,4054.191578947369,39.52736842105263
32,2020-03-09,4675.61,65.79,11,3,4273.57,51.275,3939.070588235295,38.48882352941176
33,2020-02-09,4703.11,68.34,6,2,4213.086666666666,50.1,3581.9237499999995,41.020624999999995
34,2020-01-09,4644.5,64.9,2,1,4521.7425,55.5575,3421.162857142857,39.43333333333334
35,2020-08-29,4693.4,65.63,35,8,4662.954000000001,64.686,4492.892000000001,58.665
36,2020-08-28,4689.71,65.9,35,8,4662.954000000001,64.686,4492.892000000001,58.665
37,2020-08-27,4659.27,64.1,35,8,4662.954000000001,64.686,4492.892000000001,58.665
38,2020-08-26,4612.67,63.47,35,8,4662.954000000001,64.686,4492.892000000001,58.665
39,2020-08-25,4659.72,64.33,35,8,4662.954000000001,64.686,4492.892000000001,58.665
40,2020-08-22,4604.75,63.97,34,8,4635.834,64.486,4492.892000000001,58.665
41,2020-08-21,4572.94,63.84,34,8,4635.834,64.486,4492.892000000001,58.665
42,2020-08-20,4693.26,64.61,34,8,4635.834,64.486,4492.892000000001,58.665
43,2020-08-19,4733.95,66.87,34,8,4635.834,64.486,4492.892000000001,58.665
44,2020-08-18,4574.27,63.14,34,8,4635.834,64.486,4492.892000000001,58.665
45,2020-08-15,4586.18,62.86,33,8,4611.1125,61.2075,4492.892000000001,58.665
46,2020-08-14,4569.73,62.12,33,8,4611.1125,61.2075,4492.892000000001,58.665
47,2020-08-13,4548.31,60.77,33,8,4611.1125,61.2075,4492.892000000001,58.665
48,2020-12-08,4695.8,66.51,50,12,4688.84,65.61,4053.986,49.346
49,2020-11-08,4815.71,67.05,45,11,3965.0799999999995,43.43666666666667,3945.444999999999,45.215
